1 Borough | Bronx


"Population, Sex, Age, and Density"
,Selected Area,Selected Area,New York City,New York City,Difference,Difference
,Number,Percent,Number,Percent,Number,Pctg. Pt.
Total Population,"1,472,654",100.0%,"8,804,190",100.0%,"-7,331,536",0.0
Male,"689,426",46.8%,"4,184,548",47.5%,"-3,495,122",-0.7
Female,"783,228",53.2%,"4,619,642",52.5%,"-3,836,414",0.7
,,,,,,
Under 5 years,"89,023",6.0%,"475,637",5.4%,"-386,614",0.6
5 to 9 years,"96,043",6.5%,"479,017",5.4%,"-382,974",1.1
10 to 14 years,"102,234",6.9%,"491,325",5.6%,"-389,091",1.4
15 to 19 years,"106,398",7.2%,"505,700",5.7%,"-399,302",1.5
20 to 24 years,"105,790",7.2%,"617,630",7.0%,"-511,840",0.2
25 to 29 years,"112,122",7.6%,"791,423",9.0%,"-679,301",-1.4
30 to 34 years,"110,616",7.5%,"778,600",8.8%,"-667,984",-1.3
35 to 39 years,"99,727",6.8%,"654,891",7.4%,"-555,164",-0.7
40 to 44 years,"93,814",6.4%,"572,861",6.5%,"-479,047",-0.1
45 to 49 years,"87,984",6.0%,"530,193",6.0%,"-442,209",0.0
50 to 54 years,"95,929",6.5%,"545,581",6.2%,"-449,652",0.3
55 to 59 years,"95,813",6.5%,"543,458",6.2%,"-447,645",0.3
60 to 64 years,"83,791",5.7%,"507,650",5.8%,"-423,859",-0.1
65 to 69 years,"64,741",4.4%,"420,871",4.8%,"-356,130",-0.4
70 to 74 years,"49,529",3.4%,"339,356",3.9%,"-289,827",-0.5
75 to 79 years,"33,800",2.3%,"225,633",2.6%,"-191,833",-0.3
80 to 84 years,"22,825",1.5%,"159,603",1.8%,"-136,778",-0.3
85 years and over,"22,475",1.5%,"164,761",1.9%,"-142,286",-0.3
,,,,,,
Median age (years) ,35.6,,36.8,,-1.2,
,,,,,,
Under 18 years,"349,579",23.7%,"1,740,142",19.8%,"-1,390,563",4.0
65 years and over,"193,370",13.1%,"1,310,224",14.9%,"-1,116,854",-1.8
,,,,,,
Age dependency ratio ,58.4,,53.0,,5.4,
Old-age dependency ratio ,20.8,,22.8,,-2.0,
Child dependency ratio ,37.6,,30.2,,7.4,
,,,,,,
Population per acre ,54.6,,45.8,,8.8,
