1 Borough | Brooklyn


"Population, Sex, Age, and Density"
,Selected Area,Selected Area,New York City,New York City,Difference,Difference
,Number,Percent,Number,Percent,Number,Pctg. Pt.
Total Population,"2,736,074",100.0%,"8,804,190",100.0%,"-6,068,116",0.0
Male,"1,295,763",47.4%,"4,184,548",47.5%,"-2,888,785",-0.2
Female,"1,440,311",52.6%,"4,619,642",52.5%,"-3,179,331",0.2
,,,,,,
Under 5 years,"169,016",6.2%,"475,637",5.4%,"-306,621",0.8
5 to 9 years,"166,390",6.1%,"479,017",5.4%,"-312,627",0.6
10 to 14 years,"164,899",6.0%,"491,325",5.6%,"-326,426",0.4
15 to 19 years,"158,117",5.8%,"505,700",5.7%,"-347,583",0.0
20 to 24 years,"189,157",6.9%,"617,630",7.0%,"-428,473",-0.1
25 to 29 years,"253,834",9.3%,"791,423",9.0%,"-537,589",0.3
30 to 34 years,"256,379",9.4%,"778,600",8.8%,"-522,221",0.5
35 to 39 years,"215,100",7.9%,"654,891",7.4%,"-439,791",0.4
40 to 44 years,"180,731",6.6%,"572,861",6.5%,"-392,130",0.1
45 to 49 years,"159,406",5.8%,"530,193",6.0%,"-370,787",-0.2
50 to 54 years,"153,590",5.6%,"545,581",6.2%,"-391,991",-0.6
55 to 59 years,"151,686",5.5%,"543,458",6.2%,"-391,772",-0.6
60 to 64 years,"145,157",5.3%,"507,650",5.8%,"-362,493",-0.5
65 to 69 years,"122,174",4.5%,"420,871",4.8%,"-298,697",-0.3
70 to 74 years,"98,424",3.6%,"339,356",3.9%,"-240,932",-0.3
75 to 79 years,"60,041",2.2%,"225,633",2.6%,"-165,592",-0.4
80 to 84 years,"45,768",1.7%,"159,603",1.8%,"-113,835",-0.1
85 years and over,"46,205",1.7%,"164,761",1.9%,"-118,556",-0.2
,,,,,,
Median age (years) ,35.2,,36.8,,-1.6,
,,,,,,
Under 18 years,"595,703",21.8%,"1,740,142",19.8%,"-1,144,439",2.0
65 years and over,"372,612",13.6%,"1,310,224",14.9%,"-937,612",-1.3
,,,,,,
Age dependency ratio ,54.8,,53.0,,1.8,
Old-age dependency ratio ,21.1,,22.8,,-1.7,
Child dependency ratio ,33.7,,30.2,,3.5,
,,,,,,
Population per acre ,61.6,,45.8,,15.8,
