1 Borough | Manhattan


"Population, Sex, Age, and Density"
,Selected Area,Selected Area,New York City,New York City,Difference,Difference
,Number,Percent,Number,Percent,Number,Pctg. Pt.
Total Population,"1,694,251",100.0%,"8,804,190",100.0%,"-7,109,939",0.0
Male,"794,484",46.9%,"4,184,548",47.5%,"-3,390,064",-0.6
Female,"899,767",53.1%,"4,619,642",52.5%,"-3,719,875",0.6
,,,,,,
Under 5 years,"68,849",4.1%,"475,637",5.4%,"-406,788",-1.3
5 to 9 years,"63,039",3.7%,"479,017",5.4%,"-415,978",-1.7
10 to 14 years,"63,419",3.7%,"491,325",5.6%,"-427,906",-1.8
15 to 19 years,"74,917",4.4%,"505,700",5.7%,"-430,783",-1.3
20 to 24 years,"137,699",8.1%,"617,630",7.0%,"-479,931",1.1
25 to 29 years,"202,817",12.0%,"791,423",9.0%,"-588,606",3.0
30 to 34 years,"180,136",10.6%,"778,600",8.8%,"-598,464",1.8
35 to 39 years,"131,176",7.7%,"654,891",7.4%,"-523,715",0.3
40 to 44 years,"103,841",6.1%,"572,861",6.5%,"-469,020",-0.4
45 to 49 years,"95,036",5.6%,"530,193",6.0%,"-435,157",-0.4
50 to 54 years,"99,176",5.9%,"545,581",6.2%,"-446,405",-0.3
55 to 59 years,"98,484",5.8%,"543,458",6.2%,"-444,974",-0.4
60 to 64 years,"92,479",5.5%,"507,650",5.8%,"-415,171",-0.3
65 to 69 years,"83,215",4.9%,"420,871",4.8%,"-337,656",0.1
70 to 74 years,"72,777",4.3%,"339,356",3.9%,"-266,579",0.4
75 to 79 years,"52,832",3.1%,"225,633",2.6%,"-172,801",0.6
80 to 84 years,"36,033",2.1%,"159,603",1.8%,"-123,570",0.3
85 years and over,"38,326",2.3%,"164,761",1.9%,"-126,435",0.4
,,,,,,
Median age (years) ,36.9,,36.8,,0.1,
,,,,,,
Under 18 years,"232,511",13.7%,"1,740,142",19.8%,"-1,507,631",-6.0
65 years and over,"283,183",16.7%,"1,310,224",14.9%,"-1,027,041",1.8
,,,,,,
Age dependency ratio ,43.8,,53.0,,-9.2,
Old-age dependency ratio ,24.0,,22.8,,1.2,
Child dependency ratio ,19.7,,30.2,,-10.5,
,,,,,,
Population per acre ,116.8,,45.8,,71.0,
