1 Borough | Queens


"Population, Sex, Age, and Density"
,Selected Area,Selected Area,New York City,New York City,Difference,Difference
,Number,Percent,Number,Percent,Number,Pctg. Pt.
Total Population,"2,405,464",100.0%,"8,804,190",100.0%,"-6,398,726",0.0
Male,"1,164,469",48.4%,"4,184,548",47.5%,"-3,020,079",0.9
Female,"1,240,995",51.6%,"4,619,642",52.5%,"-3,378,647",-0.9
,,,,,,
Under 5 years,"122,122",5.1%,"475,637",5.4%,"-353,515",-0.3
5 to 9 years,"124,646",5.2%,"479,017",5.4%,"-354,371",-0.3
10 to 14 years,"129,622",5.4%,"491,325",5.6%,"-361,703",-0.2
15 to 19 years,"134,191",5.6%,"505,700",5.7%,"-371,509",-0.2
20 to 24 years,"153,583",6.4%,"617,630",7.0%,"-464,047",-0.6
25 to 29 years,"190,852",7.9%,"791,423",9.0%,"-600,571",-1.1
30 to 34 years,"198,894",8.3%,"778,600",8.8%,"-579,706",-0.6
35 to 39 years,"178,099",7.4%,"654,891",7.4%,"-476,792",0.0
40 to 44 years,"163,986",6.8%,"572,861",6.5%,"-408,875",0.3
45 to 49 years,"156,561",6.5%,"530,193",6.0%,"-373,632",0.5
50 to 54 years,"162,684",6.8%,"545,581",6.2%,"-382,897",0.6
55 to 59 years,"162,057",6.7%,"543,458",6.2%,"-381,401",0.6
60 to 64 years,"152,270",6.3%,"507,650",5.8%,"-355,380",0.6
65 to 69 years,"122,608",5.1%,"420,871",4.8%,"-298,263",0.3
70 to 74 years,"95,705",4.0%,"339,356",3.9%,"-243,651",0.1
75 to 79 years,"63,974",2.7%,"225,633",2.6%,"-161,659",0.1
80 to 84 years,"45,498",1.9%,"159,603",1.8%,"-114,105",0.1
85 years and over,"48,112",2.0%,"164,761",1.9%,"-116,649",0.1
,,,,,,
Median age (years) ,39.1,,36.8,,2.3,
,,,,,,
Under 18 years,"455,995",19.0%,"1,740,142",19.8%,"-1,284,147",-0.8
65 years and over,"375,897",15.6%,"1,310,224",14.9%,"-934,327",0.7
,,,,,,
Age dependency ratio ,52.9,,53.0,,-0.1,
Old-age dependency ratio ,23.9,,22.8,,1.1,
Child dependency ratio ,29.0,,30.2,,-1.2,
,,,,,,
Population per acre ,34.6,,45.8,,-11.2,
