1 Borough | Staten Island


"Population, Sex, Age, and Density"
,Selected Area,Selected Area,New York City,New York City,Difference,Difference
,Number,Percent,Number,Percent,Number,Pctg. Pt.
Total Population,"495,747",100.0%,"8,804,190",100.0%,"-8,308,443",0.0
Male,"240,406",48.5%,"4,184,548",47.5%,"-3,944,142",1.0
Female,"255,341",51.5%,"4,619,642",52.5%,"-4,364,301",-1.0
,,,,,,
Under 5 years,"26,627",5.4%,"475,637",5.4%,"-449,010",0.0
5 to 9 years,"28,899",5.8%,"479,017",5.4%,"-450,118",0.4
10 to 14 years,"31,151",6.3%,"491,325",5.6%,"-460,174",0.7
15 to 19 years,"32,077",6.5%,"505,700",5.7%,"-473,623",0.7
20 to 24 years,"31,401",6.3%,"617,630",7.0%,"-586,229",-0.7
25 to 29 years,"31,798",6.4%,"791,423",9.0%,"-759,625",-2.6
30 to 34 years,"32,575",6.6%,"778,600",8.8%,"-746,025",-2.3
35 to 39 years,"30,789",6.2%,"654,891",7.4%,"-624,102",-1.2
40 to 44 years,"30,489",6.2%,"572,861",6.5%,"-542,372",-0.4
45 to 49 years,"31,206",6.3%,"530,193",6.0%,"-498,987",0.3
50 to 54 years,"34,202",6.9%,"545,581",6.2%,"-511,379",0.7
55 to 59 years,"35,418",7.1%,"543,458",6.2%,"-508,040",1.0
60 to 64 years,"33,953",6.8%,"507,650",5.8%,"-473,697",1.1
65 to 69 years,"28,133",5.7%,"420,871",4.8%,"-392,738",0.9
70 to 74 years,"22,921",4.6%,"339,356",3.9%,"-316,435",0.8
75 to 79 years,"14,986",3.0%,"225,633",2.6%,"-210,647",0.5
80 to 84 years,"9,479",1.9%,"159,603",1.8%,"-150,124",0.1
85 years and over,"9,643",1.9%,"164,761",1.9%,"-155,118",0.1
,,,,,,
Median age (years) ,40.4,,36.8,,3.6,
,,,,,,
Under 18 years,"106,354",21.5%,"1,740,142",19.8%,"-1,633,788",1.7
65 years and over,"85,162",17.2%,"1,310,224",14.9%,"-1,225,062",2.3
,,,,,,
Age dependency ratio ,63.0,,53.0,,10.0,
Old-age dependency ratio ,28.0,,22.8,,5.2,
Child dependency ratio ,35.0,,30.2,,4.8,
,,,,,,
Population per acre ,13.5,,45.8,,-32.3,
